date,volume,open_interest
2026-03-06,50356,113477
2026-03-09,56259,114100
2026-03-10,52294,115458
2026-03-11,51677,115789
2026-03-12,41281,115843
2026-03-13,57553,115026
2026-03-16,50072,114577
2026-03-17,32659,114758
2026-03-18,57435,113498
2026-03-19,96971,112034
